Lemma,Language Code,Lexical Category,Definition
အကြီုရာဇာဓိရာဇ်,mnw,noun,"(n) historical account of a royal campaign of king Raerjaerdhirard, social or political uprising revolution."
အကြုံ,mnw,noun,"အကြုဟ် (n) [colloq] man, fellow, male person. (အတြုံ / ဣဗြဴ)"
အကြောံ,mnw,noun,"(n) fat and rotund man, corpulent person, fat and heavy person, obese person, very fat person, fatty. [id.] အကြောအ်။"
အကြဳ,mnw,noun,"(n) clever person, sharp, learned person, a person who can make a shrewd guess {ie. One that is likely to be right}."
အကြဴ,mnw,noun,"(n) a foolish boastful person, blood-thirsty person, dare-devil."
အကြံ,mnw,noun,"အကြမ် (n) delinquent, doing wrong {person}, a bad person, an unruly person."
အကြံ,mnw,noun,"အကြအ် (n) foolish and stupid person, fool, nitwit, person with very little intelligence, crazy, daft person, silly fellow, lunatic, madman, insane person."
အကွ,mnw,noun,"(n) squat person, bandy-legged person, dwarf, short person, short and stubby person, short and thick person."
အကွက်,mnw,noun,"(n) {matter of} account, sake, behalf, for the sake of, on behalf of, for the duration of, in order to, in order to, in order that, so as to, because of. [id.] သွက်၊ ဘိုအ်။"
အကွက်,mnw,noun,အဲသွက်ဂွံသ္ဒးကဵုဍေံ နွံမံၚ်စှ်ဒ္ကေဝ်ဏီ။ (n) I owe him ten rupees.
အကွက်,mnw,noun,သွက်အဲလ္ပဝိုတ်ညိ (n) do not forget for me.
အကွပ်,mnw,noun,"(n) line made {on cloth, paper, ect.}, crease, hem, edging {as in basket}, cap, boss {as in staff}."
အကၟော်,mnw,noun,(n) a person who refuses to do things or work.
အကၠက်,mnw,noun,(n) blind person.[Der.] ကၠက် (v) to be blind.
အကၠဟ်,mnw,noun,(n) {bird} cormorant.
အကၠာ,mnw,noun,(n) before.
အကၠာ,mnw,noun,အကၠာမၞးဟွံရာန်သ္ဒးသ္ဂုတ်ၚ္ၚုဟ်ေထက် (n) you should beat down the price before you buy.[Der.] ကၠာ (n) time before.
အခက်အခုဲ,mnw,noun,(n) difficulty.
